LNRZNZZFLII,BNFVZFUZNOLFN,20190604000525,002,000,LN
NFNIRVZOLUP,BURVZNNIUFUPU,20190604000524,002,000,NFNI
IIRPNNVPUNI,BNFVZNNZIOIIOL,20190604000524,002,000,II
ZNONORZFU,BNFVZNRPIVFUN,20190604000523,002,000,ION
IULOUNFIN,BNUUZVUURIVOZ,20190604000521,002,000,ION
NOVUOROPOOR,BNFVZNNIUOIOO,20190604000520,002,000,NOVU
ZFFFUUINU,BNFVZNOLOLUNU,20190604000518,002,000,ION
LNRPPLOPFPO,BNFVZVFOZLNRR,20190604000517,002,000,LN
ZNIVNFVVL,BURVDUZNZUUZFLPRNUVO,20190604000516,002,000,ION
ZNZFPULIU,BNFVZNRRUPOZN,20190604000514,002,000,ION
LLRLZLUILVPU,BNFVZNNIUPFOP,20190604000510,002,000,LL
ZNUFIVPFI,BNFVZNULNZIFO,20190604000508,002,000,ION
NPLOVPNVUPN,BURVZVUUIIZZL,20190604000506,002,000,NPLO
ZNRIZZUNN,BNFVZVUIOPIFL,20190604000505,002,000,ION
IULOUNFIN,BNUUZVUUNOOZU,20190604000505,002,000,ION
ZNUNLVOVF,BNFVZNLNZLFZU,20190604000502,002,000,ION
NLUOVUONUZR,BNFVZNNIUFLPI,20190604000500,002,000,NLUO
ZVUUOONRO,BNFVZVUNZIFOF,20190604000459,002,000,ION
LZNRFNZZNRRZZ,BNFVZNUFPUUVZ,20190604000458,002,000,LZ
NIUIOVLLOIF,BNFVZNNIUFOVZ,20190604000457,002,000,NIUI
ZFIFRPRRO,BNFVZFVNZVZVO,20190604000455,002,000,ION
NZVZLIIPVLU,BNFVZVUVLORUZ,20190604000453,002,000,NZVZ
ZNUNNUUZP,BNFVZNNFFLPUU,20190604000452,002,000,ION
OONNVNFUPNPO,BURVZNNIUFVNO,20190604000451,002,000,OO
ZNZUPVVPU,BNFVZNIPLNRUO,20190604000451,002,000,ION
ILFRORFNOZI,BNFVZNNRLVRVP,20190604000450,002,000,IL
ZNRVUVZRO,BNFVZNPURVINZ,20190604000449,002,000,ION
OONNZLRLPUFUL,BNFVZFUPNRLUF,20190604000448,002,000,OO
ZNFZVVIPO,BNFVZNNIULNPZ,20190604000448,002,000,ION
OONNVLLPIFLR,BNFVZNNIULVLR,20190604000447,002,000,OO
IOVFVNIFUIUZ,BNFVZVUVZUVFU,20190604000446,002,000,IOV
ILFRORFNOZI,BNFVZNNRLVRVP,20190604000444,002,000,IL
ZNRNRPRUR,BNFVZNIUUUVZL,20190604000444,002,000,ION
LZNONFIVUNVZZ,BNFVZNRPIINOO,20190604000443,002,000,LZ
LLRRULZURRNO,BNFVZNNIUFPNI,20190604000441,002,000,LL
ILFLVPRORVF,BNFVZNPULFIOU,20190604000440,002,000,IL
NIUIVFNPRFV,BNFVZNNIUFLLP,20190604000440,002,000,NIUI
OOVNIPVLZRUU,BNFVZFURIIZFF,20190604000439,002,000,OO
ILFRORFNOZI,BNFVZNNRLVRVP,20190604000439,002,000,IL
VLLZVVRNIIVN,BURVZVUIOPVIF,20190604000437,002,000,VLL
OONNZLRLPUFUL,BNFVZFUPIZVRP,20190604000435,002,000,OO
IZIILIVRLORO,BNFVZFURNFPNV,20190604000433,002,000,IZ
ILFRORFNOZI,BNFVZNNRLVRVP,20190604000432,002,000,IL
NIUIVFNPRFV,BNFVZNNIUFVVL,20190604000431,002,000,NIUI
ILFNUONOZLL,BNFVZNNIUFRLL,20190604000430,002,000,IL
LLRRUFIROINP,BNFVZNNIUZLOO,20190604000429,002,000,LL
ZFLPRNUVO,BNFVZNIVNFVVL,20190604000428,002,000,ION
LLRZRVVPLZOR,BNFVZFURNFRRL,20190604000428,002,000,LL
OONNZZZUIRULO,BNFVZFLRNVZFP,20190604000427,002,000,OO
ZNUVRLFVU,BURVDUZNZUUZFPRIVLPV,20190604000425,002,000,ION
ZNOLRFUFZ,BNFVZNZNUUOUR,20190604000423,002,000,ION
OZLFZLZNNORZ,BNFVZVUVOUOIZ,20190604000423,002,000,OZL
IRNVOFLLULO,BURVZNUNZUNRI,20190604000422,002,000,IRN
VNIUVOLPN,BNUUZNVFNROOP,20190604000421,002,000,ION
ZNVFFRNZP,BNFVZNFVPPVRV,20190604000420,002,000,ION
LNRFOFRLZOO,BURVZNZLINLOO,20190604000418,002,000,LN
ZIIUPLPNO,BNFVZNNIUFULF,20190604000417,002,000,ION
ZNZLUFFLL,BNFVZNVRZFZNR,20190604000416,002,000,ION
IOINLIRPPRP,BNFVZFVILUIVR,20190604000414,002,000,IOI
LUROIPPLNZF,BNFVZVUVLPRNU,20190604000414,002,000,LU
ZNFIUUVIV,BNFVZNPZNPRUV,20190604000413,002,000,ION
ZNIPRZIUV,BNFVZNPRPIUFR,20190604000411,002,000,ION
IUPPNIIVL,BNFVZFNROZLVV,20190604000410,002,000,ION
VNNUVNOLP,BNUUZNNUZOOZU,20190604000409,002,000,ION
ILFUILNUFRF,BNFVZNNIUZFLR,20190604000407,002,000,IL
NFOUIIIRILR,BNFVZNNIUOZZO,20190604000407,002,000,NFOU
FNVPVZLIINV,BNUUDUZNVFNVNPPLVUUU,20190604000404,002,000,FN
IIFIUIUZRPF,BNFVZNNIUFPNU,20190604000403,002,000,II
OONNZZZUIRULO,BNFVZFLRNVZFP,20190604000403,002,000,OO
IFIUVZFLIIV,BURVDUZNZUUZFPFIFFLP,20190604000401,002,000,IF
ZNFOPVZRP,BNFVZNZPZVLNV,20190604000401,002,000,ION
IULOUNFII,BNUUZNOFOFORL,20190604000400,002,000,ION
IUPPURFUZ,BNFVZNPRRPFIZ,20190604000358,002,000,ION
LURRUFLULRF,BNFVZFLVFVZFU,20190604000355,002,000,LU
VNNUVNOON,BNUUZNNOUPPIV,20190604000354,002,000,ION
ZIIINPZPZ,BNFVZNNFFLPUU,20190604000352,002,000,ION
IIFFNNFRVOV,BNFVZNFVFVLVF,20190604000351,002,000,II
NZNLOPLZRPO,BNFVZNNIUZOZL,20190604000350,002,000,NZNL
ZNFOVZOOP,BNFVZNFUFZLIZ,20190604000349,002,000,ION
IUPPUIOVP,BNFVZNZPLLULV,20190604000349,002,000,ION
LZNRLLZFVRRR,BNFVZNNIUOFZU,20190604000347,002,000,LZ
IIROONVLOUI,BNFVZFRIIFRRP,20190604000346,002,000,II
LFRUPIRIOUV,BNFVZNRUPNROO,20190604000345,002,000,LF
ZFNONRUZF,BNFVFFZFNONRUZF,20190604000344,002,000,ION
IIFLNNUPOLO,BNFVZVUIZNFNF,20190604000343,002,000,II
LLRPPNLVPZOI,BNFVZNNIUPPVO,20190604000343,002,000,LL
LLRRRNPZLVUF,BNFVZNNIUROUU,20190604000341,002,000,LL
IUPPURINO,BNFVZFLZZVLUF,20190604000339,002,000,ION
LZNROULOUONZ,BNFVZFIFVRZIV,20190604000337,002,000,LZ
IOIPRVVFPVZN,BNFVZNNIUZZOU,20190604000337,002,000,IOI
NFRPZROIVIR,BNFVZNNIUPUFO,20190604000336,002,000,NFRP
ZNNORILFP,BNFVZNPRVUFIR,20190604000335,002,000,ION
LURRVNLZINO,BNFVZNRIZZUNN,20190604000334,002,000,LU
IZIILIZVVZLF,BNFVZNNIUPVIO,20190604000333,002,000,IZ
ZNPIZLRIR,BNFVZNFVPPVRV,20190604000332,002,000,ION
IZILRVIZVZUP,BNFVZNNIUZFPR,20190604000331,002,000,IZ
IZIILIZVVZLF,BNFVZNNIUPOLP,20190604000331,002,000,IZ
IRVOIOORRVP,BURVZNNIURPFZ,20190604000330,002,000,IRV
IRVOIOORRVP,BNFVZNNIURPFZ,20190604000330,002,000,IRV
ILFRORFNOZI,BNFVZNNRLIURV,20190604000330,002,000,IL
NFNFVFFZLUR,BURVZNNIULZZU,20190604000329,002,000,NFNF
ZNUNNZPLN,BNFVZNOLOLUNU,20190604000329,002,000,ION
NFNIIVRFFOO,BNFVZNNIULIFF,20190604000329,002,000,NFNI
IULOUNFIR,BNUUZVUNIRZRN,20190604000329,002,000,ION
ZNUILVIRI,BNFVZFUZRUULFZ,20190604000328,002,000,ION
LOVNIRLNNO,BNFVZNNIULPIF,20190604000327,002,000,LO
LURRVNLZINO,BURVZNRIZZUNN,20190604000327,002,000,LU
LLRPOUUINUUU,BNFVZNNIUPVPN,20190604000327,002,000,LL
ZNRFVPPIP,BNFVZNZUFLUIP,20190604000327,002,000,ION
ILZLIOUZOVF,BNFVZNNIUPUZR,20190604000326,002,000,IL
IFIULLUIZVR,BNFVZNNIUPPIR,20190604000326,002,000,IF
ILFLPPZIRLO,BNFVZNNIUOONI,20190604000325,002,000,IL
ZNROULOIV,BNFVZNPNZILRV,20190604000325,002,000,ION
IIRFUVNVPLN,BNFVZNULIPLFL,20190604000324,002,000,II
IFIULLUIZVR,BURVZNNIUPPIR,20190604000324,002,000,IF
IFIULLUIZVR,BURVZNNIUPPIR,20190604000324,002,000,IF
ILFUUFZIUNV,BNFVZNNIUOPIN,20190604000323,002,000,IL
ZNIOLUNNN,BNFVZFFZUPURZ,20190604000323,002,000,ION
IFIULLUIZVR,BURVZNNIUPPIR,20190604000323,002,000,IF
ZNONVZILI,BNFVZNRRZPONO,20190604000322,002,000,ION
INFOOVZZLRP,BNFVZFIFVRZIV,20190604000322,002,000,IN
ZNRIRLNPV,BNFVZNFFOZRLF,20190604000322,002,000,ION
ZNRFVPPIP,BNFVZNZUFLUIP,20190604000322,002,000,ION
NRUZRLLIOFZ,BNFVZNNIULFPL,20190604000322,002,000,NRUZ
ZNIRZLZFN,BNFVZNZLVNZIP,20190604000321,002,000,ION
ILFZRNPLZVI,BNFVZNNIULLIZ,20190604000321,002,000,IL
IFIULLUIZVR,BNFVZNNIUPPIR,20190604000321,002,000,IF
OONNZPIOLIOUP,BNFVZNPIOOZRR,20190604000321,002,000,OO
IFIULLUIZVR,BNFVZNNIUPPIR,20190604000321,002,000,IF
NPPPVROVUPO,BNFVZNZOVFRIR,20190604000320,002,000,NPPP
VLLZLFOUVVRI,BNFVZNIFOVFIP,20190604000320,002,000,VLL
IFIULLUIZVR,BNFVZNNIUPPIR,20190604000320,002,000,IF
ZNFUFZLIZ,BNFVZNFOVZOOP,20190604000320,002,000,ION
ILFNOFNVROV,BNFVZNNIUZIFF,20190604000319,002,000,IL
ZNNURFPOR,BNFVZNVNNLFPZ,20190604000319,002,000,ION
ZNUVFVVPV,BNFVZNIFIRPNI,20190604000319,002,000,ION
IIFVOVROILI,BNFVZNZONOLII,20190604000318,002,000,II
IIFVOVROILI,BNFVZNZONOLII,20190604000318,002,000,II
ZNRFNUINR,BNFVZNLOVPRVP,20190604000318,002,000,ION
VVUIFRVLNI,BNFVZVUOLRRZZ,20190604000317,002,000,VVU
LUROPZUFPRV,BNFVZNNOORVLO,20190604000317,002,000,LU
ZNOFFNORL,BNFVZNULUPUNI,20190604000316,002,000,ION
ZVLNNZUFP,BNFVZNILLLILU,20190604000315,002,000,ION
IUPPULOVV,BNFVZFUFNFRUI,20190604000315,002,000,ION
ILFLVURZVUF,BURVZNNIULUIF,20190604000314,002,000,IL
IIFVFPNFFVL,BNFVZNNIULLLN,20190604000314,002,000,II
LNRZVPIZIIF,BURVZNONIFRFV,20190604000313,002,000,LN
IZIONVINUZUP,BNFVZNVVFOOOZ,20190604000312,002,000,IZ
NZNVIVINZPV,BNFVZNLLFZRNZ,20190604000312,002,000,NZNV
ZFNRVVRZN,BNFVZNFOIOPVN,20190604000311,002,000,ION
IOIPRNZVVRIU,BNFVZNNIUOVPU,20190604000310,002,000,IOI
ZFIFORRZO,BNFVZNVNRNULU,20190604000309,002,000,ION
